Date,Close,Abbv,Industry
12-09-2013,99.57,BHC,Pharmaceuticals
13-09-2013,99.199997,BHC,Pharmaceuticals
16-09-2013,101.220001,BHC,Pharmaceuticals
17-09-2013,102.769997,BHC,Pharmaceuticals
18-09-2013,102.830002,BHC,Pharmaceuticals
19-09-2013,106.120003,BHC,Pharmaceuticals
20-09-2013,104.410004,BHC,Pharmaceuticals
23-09-2013,103.080002,BHC,Pharmaceuticals
24-09-2013,103.730003,BHC,Pharmaceuticals
25-09-2013,102.339996,BHC,Pharmaceuticals
26-09-2013,103.290001,BHC,Pharmaceuticals
27-09-2013,104.720001,BHC,Pharmaceuticals
30-09-2013,104.330002,BHC,Pharmaceuticals
01-10-2013,108.160004,BHC,Pharmaceuticals
02-10-2013,109.800003,BHC,Pharmaceuticals
03-10-2013,111.400002,BHC,Pharmaceuticals
04-10-2013,111.010002,BHC,Pharmaceuticals
07-10-2013,110.32,BHC,Pharmaceuticals
08-10-2013,105.919998,BHC,Pharmaceuticals
09-10-2013,107.029999,BHC,Pharmaceuticals
10-10-2013,110,BHC,Pharmaceuticals
11-10-2013,109.43,BHC,Pharmaceuticals
14-10-2013,109.779999,BHC,Pharmaceuticals
15-10-2013,109.730003,BHC,Pharmaceuticals
16-10-2013,110.629997,BHC,Pharmaceuticals
17-10-2013,112,BHC,Pharmaceuticals
18-10-2013,113.019997,BHC,Pharmaceuticals
21-10-2013,112.300003,BHC,Pharmaceuticals
22-10-2013,112.529999,BHC,Pharmaceuticals
23-10-2013,114.370003,BHC,Pharmaceuticals
24-10-2013,114.290001,BHC,Pharmaceuticals
25-10-2013,112.57,BHC,Pharmaceuticals
28-10-2013,110.419998,BHC,Pharmaceuticals
29-10-2013,111.059998,BHC,Pharmaceuticals
30-10-2013,109.059998,BHC,Pharmaceuticals
31-10-2013,105.720001,BHC,Pharmaceuticals
01-11-2013,111.199997,BHC,Pharmaceuticals
04-11-2013,110.330002,BHC,Pharmaceuticals
05-11-2013,109.449997,BHC,Pharmaceuticals
06-11-2013,106.449997,BHC,Pharmaceuticals
07-11-2013,103.040001,BHC,Pharmaceuticals
08-11-2013,105.440002,BHC,Pharmaceuticals
11-11-2013,105.160004,BHC,Pharmaceuticals
12-11-2013,105.739998,BHC,Pharmaceuticals
13-11-2013,107.150002,BHC,Pharmaceuticals
14-11-2013,105.860001,BHC,Pharmaceuticals
15-11-2013,107.120003,BHC,Pharmaceuticals
18-11-2013,106.739998,BHC,Pharmaceuticals
19-11-2013,105.919998,BHC,Pharmaceuticals
